,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Devin Booker\bookede01,24,6,241,65,143,11,41,28,32,6,15,21,24,5,2,19,23,169,.455,.268,.875,40.2,28.2,3.5,4.0,0.8,0.3
2,Chris Paul\paulch01,35,6,224,55,100,12,23,9,12,4,12,16,49,4,1,21,19,131,.550,.522,.750,37.3,21.8,2.7,8.2,0.7,0.2
3,Deandre Ayton\aytonde01,22,6,225,34,64,0,0,20,22,13,59,72,11,9,9,8,23,88,.531,,.909,37.5,14.7,12.0,1.8,1.5,1.5
4,Mikal Bridges\bridgmi01,24,6,192,26,49,9,21,11,12,4,21,25,7,6,3,7,10,72,.531,.429,.917,32.0,12.0,4.2,1.2,1.0,0.5
5,Jae Crowder\crowdja01,30,6,223,21,51,16,39,12,14,4,47,51,10,10,6,7,20,70,.412,.410,.857,37.2,11.7,8.5,1.7,1.7,1.0
6,Cameron Johnson\johnsca02,24,6,136,17,35,10,23,7,7,4,15,19,5,3,3,4,12,51,.486,.435,1.000,22.7,8.5,3.2,0.8,0.5,0.5
7,Cameron Payne\payneca01,26,6,94,19,41,5,14,1,2,2,13,15,10,4,0,5,6,44,.463,.357,.500,15.7,7.3,2.5,1.7,0.7,0.0
8,Torrey Craig\craigto01,30,6,64,6,15,3,10,2,4,2,6,8,1,0,0,2,7,17,.400,.300,.500,10.7,2.8,1.3,0.2,0.0,0.0
9,Frank Kaminsky\kaminfr01,27,4,29,6,9,0,0,0,0,2,4,6,3,1,0,1,1,12,.667,,,7.3,3.0,1.5,0.8,0.3,0.0
10,Ty-Shon Alexander\alexaty01,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,0.0,0.0
11,Abdel Nader\naderab01,27,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,.000,.000,,4.0,0.0,0.0,0.0,0.0,0.0
12,Dario Šarić\saricda01,26,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,,,2.0,0.0,1.0,0.0,0.0,0.0
,Team Totals,,6,1439,250,510,66,172,90,105,42,192,234,120,42,24,74,122,656,.490,.384,.857,239.8,109.3,39.0,20.0,7.0,4.0
